header,class,mechanism,group
Bla|CTX-M-27|AY156923|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|291163432|gb|GQ396303.1|betalactams|Class_A_betalactamases|PER,betalactams,Class A betalactamases,PER
AGly|strB_3_AF024602|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
Bla|TEM-1D|AF188200|215-1075|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|TEM-209_1_KF240808|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
AGly|NC_004973.1.1149626|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
gi|2570064|emb|Y15130.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|383478991|gb|JQ820242.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|CTX-M-59|EU622856|6869-7744|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
1707|EU259884.2|EU259884|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR
ENA|ncrA|ABF61434|ABF61434.2LeptospirillumferriphilumNcrA,Nickel resistance,nickel ABC efflux pump,ncrA
MLS|MsrD|AF274302|2462-3925|1464|MLS|Macrolide_resistance_efflux_pumps|MSRD,MLS,Macrolide resistance efflux pumps,MSRD
ENA|cuiD|AAL19132|AAL19132.1Salmonellaentericasubsp.entericaserovarTyphimuriumstr.LT2putativemulticopperoxidase,Metal and biocide resistance,metal and biocide resistance protein,cueO
CARD|phgb|AF173226|351-1041|ARO:3003066|smeR|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,Multi-drug resistance,Multi-drug efflux pumps,sme
Bla|CMY-80|JQ733577|1027-2172|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
CARD|pvgb|AL450380|296695-297550|ARO:3003389|Mycobacterium|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|AmpC2|Ecoli|CP002970|332756-333889|1134|betalactams|Class_C_betalactamases|BLAEC,betalactams,Class C betalactamases,BLAEC
Bla|TEM-98|AF397067|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|Mor-2|AY235804|110-1249|1140|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
Bla|SHV-65|DQ174305|5-865|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
ENA|czcB|CAA67083|CAA67083.1Cupriavidusmetalliduransmembranefusionprotein,Metal resistance,metal RND efflux pump,czcB
823|AJ878850.1|AJ878850|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Flq|NC_010611.6237080|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
Flq|QnrVC4_1_GQ891757|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,Fluoroquinolones,Quinolone resistance protein Qnr,QNRVC
1249|AF409092.1|AF409092|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
AGly|Aad9|M69221|271-1038|768|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT9
AGly|aph3-prime-Ia_1_V00359|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
Bla|CTX-M-58_1_EF210159|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
1182|unknown_id|unknown_name|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
890|AJ746361.2|AJ746361|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
Mdr|AF535087.1|gene1|Multi-drug_resistance|Multi-drug_efflux_pumps|QACAB,Multi-drug resistance,Multi-drug efflux pumps,QACAB
AGly|aph3-dprime-Ic_1_DQ336355|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
gi|2765070|emb|Y10281.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|phgb|NC_002516.2|3982020-3984009|ARO:3002985|arnA|Cationic_antimicrobial_peptides|Lipid_A_modification|ARNA,Cationic antimicrobial peptides,Lipid A modification,ARNA
1267|AB976602.1|AB976602|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|209974341|gb|FJ360884.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Gly|VanXYc2_c3|EU151760|1078-1650|573|Glycopeptides|VanC-type_resistance_protein|VANXYC,Glycopeptides,VanC-type resistance protein,VANXYC
ENA|tcrB|AAL05407|AAL05407.2EnterococcusfaeciumTcrB,Copper resistance,copper resistance protein,tcrB
MLS|lnuF_2_DQ836009|MLS|Lincosamide_nucleotidyltransferases|LNUF,MLS,Lincosamide nucleotidyltransferases,LNUF
CARD|phgb|NC_009725|543798-544848|ARO:3002814|clbA|Phenicol|Phenicol_23S_rRNA_methyltransferases|CLBA,Phenicol,Phenicol 23S rRNA methyltransferases,CLBA
Bla|TEM-160|EF136377|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|LEN-16|AY743416|68-928|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
1261|AY178993.1|AY178993|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
1613|AY740681.1|AY740681|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
ENA|merD|ABF13034|ABF13034.2CupriavidusmetalliduransCH34MerDfromTn4380|regulatoryproteininvolvedinHg(II)resistance:Location:1..366,Mercury resistance,mercuric resistance regulator,merD
ENA|dsbA|AAC43535|AAC43535.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32PL:Location:1..627,Metal resistance,metal efflux regulator,dsbA
gi|428230271|gb|KC107824.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
CARD|phgb|JN790862|244-1120|ARO:3001980|CTX-M-121|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
CARD|pvgb|AP009048|1191352-1192024|ARO:3003585|Klebsiella|Cationic_antimicrobial_peptides|Polymyxin-resistant_phoP|phoP|RequiresSNPConfirmation,Cationic antimicrobial peptides,Polymyxin-resistant phoP,phoP
Bla|AJ746225.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CTX-M-24_1_EU921824|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|48734421|gb|AY628175.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
ENA|eefX|ABV24993|ABV24993.1KlebsiellapneumoniaeEefX:Location:1..186,Acid resistance,acid efflux pump,eefX
1205|JN086160.1|JN086160|MLS|23S_rRNA_methyltransferases|ERMF,MLS,23S rRNA methyltransferases,ERMF
MLS|vatE_9_AY043210|MLS|Streptogramin_A_O-acetyltransferase|VATE,MLS,Streptogramin A O-acetyltransferase,VATE
CARD|pvgb|NC_002952|594518-598142|ARO:3003291|Staphylococcus|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOC|RequiresSNPConfirmation,Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC
ENA|merT|AAA98222|AAA98222.1PlasmidpDU1358hypotheticalprotein:Location:1..351,Mercury resistance,mercuric resistance protein,merT
Bla|SFO-1_1_AB003148|betalactams|Class_A_betalactamases|SFO,betalactams,Class A betalactamases,SFO
gi|494595013|gb|KC865667.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Phe|AJ549214.1|gene2|Phenicol|Phenicol_efflux_pumps|FEXA,Phenicol,Phenicol efflux pumps,FEXA
CARD|phgb|EU408348|1243-2152|ARO:3002510|LRA-3|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
ENA|mgtA|AAA68988|AAA68988.1Salmonellaentericasubsp.entericaserovarTyphimuriumhypotheticalprotein,Magnesium resistance,magnesium resistance protein,mgtA
Bla|OXA-51_9_EU255290|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|300510843|gb|HM245381.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
38|DQ516970.1|DQ516970|Multi-drug_resistance|Multi-drug_efflux_pumps|MSBA,Multi-drug resistance,Multi-drug efflux pumps,MSBA
817|AF036933.1|AF036933|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,Phenicol,Chloramphenicol acetyltransferases,CATB
1387|HM755942.1|HM755942|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|30961997|gb|AY288523.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|544207401|gb|KF203101.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|338173766|gb|HQ661363.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|CMY-87|AB699171|1-1143|1143|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
1458|M11587.1|PRMCATA|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
Bla|OXA-114_3_HM104634|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
AGly|AF047479.2|gene10|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|TEM-120|AY243512|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|phgb|CP007005|1250264-1251203|ARO:3003186|CARB-23|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
Bla|Y16410.1|gene2|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
Bla|CEPA-85|U05887|556-1458|903|betalactams|Class_A_betalactamases|CEPA,betalactams,Class A betalactamases,CEPA
Bla|OKP-A-12|AM950916|19-879|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
CARD|phgb|BX664015|204137-204554|ARO:3000168|tetD|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETD,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETD
Flq|Qnr-A2|AY675584|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,Fluoroquinolones,Quinolone resistance protein Qnr,QNRA
gi|597441558|gb|KF048909.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|537366551|gb|KF305673.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Phe|CatA3|X07848|272-913|642|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
MLS|ermX_3_U21300|MLS|23S_rRNA_methyltransferases|ERMX,MLS,23S rRNA methyltransferases,ERMX
Bla|NDM-2|JN112341|1-813|813|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM
Tmt|DfrC|Z48233|337-822|486|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DFRC
gi|4557167|gb|AF104442.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
AGly|M26879|gene|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
CARD|pvgb|CP003583|914819-915452|ARO:3003078|Enterococcus|Lipopeptides|Daptomycin-resistant_liaFSR|LIAFSR|RequiresSNPConfirmation,Lipopeptides,Daptomycin-resistant liaFSR,LIAFSR
Bla|OXA-45_1_AJ519683|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
414|AF279904.1|AF279904|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
1202|AF318077.1|AF318077|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
Bla|CMY-34|EF394370|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Flq|FN543093.2|gene2948|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
gi|404432492|emb|HE963769.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|pvgb|NC_007779|3323917-3324766|ARO:3003386|Escherichia|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|TEM-29|AJ277416|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
ACou|NC_012469.1.7686068|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
AGly|AF205943.1|gene15|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|SHV-168|JX870080|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
ENA|baeS|ACY89073|ACY89073.1Salmonellaentericasubsp.entericaserovarTyphimuriumstr.14028Ssignaltransductionhistidine-proteinkinaseBaeS,"Drug, metal and biocide resistance",baeS,
CARD|pvgb|FQ312006|705198-706383|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB
gi|46370396|gb|AY589495.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
ENA|adeT2|ACU27399|ACU27399.1AcinetobacterbaumanniiAdeT2:Location:1..717,Drug and biocide resistance,drug and biocide RND efflux pump,adeT2
CARD|phgb|JN086160|1582-2407|ARO:3001777|OXA-347|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|1045658|gb|U37195.1|ECU37195|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
ENA|zraS/hydG|AAA24003|AAA24003.1Escherichiacolihypotheticalprotein:Location:1..415,Metal resistance,metal resistance regulator,zraS/hydG
Bla|CTX-M-147_1_KF513180|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Rif|CP003248.2|gene696|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
gi|347984504|gb|JF826285.1|Kpneumoniae|CDC1000529|NewDelhi|ndm-1|1|betalactams|Class_B_betalactamases|NDM,betalactams,Class B betalactamases,NDM
Bla|OXA-353_1_KF297582|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|343480069|gb|JF274245.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
CARD|phgb|AF034958|0-1230|ARO:3002698|cmlB|Phenicol|Phenicol_efflux_pumps|CMLB,Phenicol,Phenicol efflux pumps,CMLB
Bla|CTX-M-72|AY847148|9-884|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|CTX-M-94|HM167760|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|GOB-14|AY647252|1-879|879|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB
835|AF155139.2|AF155139|Glycopeptides|VanF-type_resistance_protein|VANXF,Glycopeptides,VanF-type resistance protein,VANXF
Bla|OXA-360_1_KF421163|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|SHV-135|HQ637576|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Gly|VanH-Sc_1_AL939117|Glycopeptides|VanA-type_resistance_protein|VANHA,Glycopeptides,VanA-type resistance protein,VANHA
Bla|OKP-A-16|FJ755840|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
gi|28625510|gb|AY227752.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
Flq|QnrB35|JN173057|2307-2951|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MLS|VgaA|M90056|909-2477|1569|MLS|ABC_transporter|VGA,MLS,ABC transporter,VGA
Bla|CMY-65_1_JF780936|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
1282|JN982330.1|JN982330|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
936|EU590124.1|EU590124|MLS|23S_rRNA_methyltransferases|ERM41,MLS,23S rRNA methyltransferases,ERM41
Bla|TEM-81|AF427127|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|160948450|emb|AM176553.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Tet|TetM|U08812|1981-3900|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
gi|1928921|gb|U92041.1|ECU92041|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Tet|tetW_2_AY049983|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
ENA|gadA|CAA44834|CAA44834.1Escherichiacolipartialglutamatedecarboxylase:Location:1..852,Biocide resistance,biocide resistance protein,gadA
CARD|phgb|AF024666|2207-2969|ARO:3000596|ErmX|MLS|23S_rRNA_methyltransferases|ERMX,MLS,23S rRNA methyltransferases,ERMX
CARD|phgb|AY080894|3-879|ARO:3001884|CTX-M-22|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
ENA|terW|AAC44736|AAC44736.1PlasmidR478terW:Location:1..468,Tellurium resistance,tellurium resistance protein,terW
gi|340937393|gb|JF896803.1|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX
Bla|TEM-150|AM183304|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Flq|QnrB8|EU043312|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
ENA|terD|AAA98292|AAA98292.1PlasmidpMJ606hypotheticalprotein:Location:1..579,Tellurium resistance,tellurium resistance protein,terD
Bla|CTX-M-116|JF966749|158-1033|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Gly|VanSc3|AY033764|1604-5662|1059|Glycopeptides|VanC-type_regulator|VANSC,Glycopeptides,VanC-type regulator,VANSC
Bla|KPC-2|JN048642|127-1008|882|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
gi|393716100|dbj|AB733453.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Rif|AM180355.1|gene120|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
Flq|NC_002745.1122777|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
986|AM237806.1|AM237806|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR
Bla|TEM-109|AY628175|211-1071|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Flq|NC_012491.1.7720231|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
614|HQ875016.1|HQ875016|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|FR823292.1|gene2|betalactams|Class_A_betalactamases|BLAZ,betalactams,Class A betalactamases,BLAZ
Bla|CMY-84|JQ733579|1028-2173|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Phe|M90091.1|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
Bla|CTX-M-90|FJ907381|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
ACou|FN543093.2|gene3601|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
Gly|VanE|FJ872411|39736-40794|1059|Glycopeptides|VanE-type_resistance_protein|VANE,Glycopeptides,VanE-type resistance protein,VANE
gi|478437782|gb|KC465199.1|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
ENA|czcR|CAA67086|CAA67086.1Cupriavidusmetalliduranshypotheticalprotein:Location:1..678,Metal resistance,metal RND efflux regulator,czcR
Bla|SHV-74|AM176549|31-891|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
ENA|copA|AEC46567|AEC46567.1Xanthomonasalfalfaesubsp.citrumeloniscopperresistanceproteinA,Copper resistance,copper resistance protein,copA
ENA|chrF|ABO70323|ABO70323.1OchrobactrumtriticiChrF:Location:1..453,Metal and biocide resistance,metal and biocide resistance protein,chrF
gi|591389149|gb|KF986257.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|NC_003923.1002573|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
CARD|phgb|AF540889|0-327|ARO:3002871|tet37|Tetracyclines|Tetracycline_inactivation_enzymes|TET37,Tetracyclines,Tetracycline inactivation enzymes,TET37
AGly|M23634.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
CARD|phgb|U00096|4567286-4568519|ARO:3001214|mdtM|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTC,Multi-drug resistance,Multi-drug efflux pumps,MDTC
gi|452107691|gb|KC351754.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|TEM-88|AY027590|113-973|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|phgb|D16099|409-1297|ARO:3001300|myrA|MLS|23S_rRNA_methyltransferases|MYRA,MLS,23S rRNA methyltransferases,MYRA
gi|529283954|gb|KF131539.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|168740380|emb|AM231720.2|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|GOB-17|AY899332|1-873|873|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB
660|JQ808129.1|JQ808129|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|13236847|gb|AY027590.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|388564835|gb|JQ733573.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Tet|TetO|M18896|207-2126|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
gi|29692030|gb|AY238472.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|QnrB11_1_EU136183|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
gi|23505685|gb|AY130284.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|191174821|emb|AM931008.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|70980483|emb|AM049399.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|phgb|EU250284|2574-3564|ARO:3002973|vanTmL|Glycopeptides|VanL-type_resistance_protein|VANTML,Glycopeptides,VanL-type resistance protein,VANTML
Bla|IMIH|AJ548797|924-1688|765|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA
gi|304359285|gb|HM559945.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|pvgb|AE016830|2790820-2791552|ARO:3003077|Enterococcus|Lipopeptides|Daptomycin-resistant_liaFSR|LIAFSR|RequiresSNPConfirmation,Lipopeptides,Daptomycin-resistant liaFSR,LIAFSR
gi|375313994|gb|JN790863.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|mecA_4_AB033763|betalactams|Penicillin_binding_protein|MECA,betalactams,Penicillin binding protein,MECA
Bla|TEM-79|AF190692|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|114386383|gb|DQ834729.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|161367443|gb|EU274581.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|CTX-M-66|EF576988|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
CARD|phgb|AF326777|23980-24640|ARO:3002670|cat|Phenicol|Chloramphenicol_acetyltransferases|CAT,Phenicol,Chloramphenicol acetyltransferases,CAT
gi|168824138|gb|EU515248.1|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX
CARD|phgb|M28303|242-1187|ARO:3003564|EXO|betalactams|Class_A_betalactamases|EXO,betalactams,Class A betalactamases,EXO
MLS|MphC|AF167161|5665-6564|900|MLS|Macrolide_phosphotransferases|MPHC,MLS,Macrolide phosphotransferases,MPHC
Mdr|U46859.1|gene23|Multi-drug_resistance|Multi-drug_efflux_pumps|ROSA,Multi-drug resistance,Multi-drug efflux pumps,ROSA
Bla|AM849805.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|phgb|AM180355|2319373-2320111|ARO:3000375|ErmB|MLS|23S_rRNA_methyltransferases|ERM,MLS,23S rRNA methyltransferases,ERM
